Ckey,Call_Num,Barcode,Druid,Purl,Title
4540802,G7823 .F8 S50 .C51 8628-IV,36105023908739,wy472cv0489,https://purl.stanford.edu/wy472cv0489,Fujian sheng
4540802,G7823 .F8 S50 .C51 8629-I,36105023908747,rm375bq6861,https://purl.stanford.edu/rm375bq6861,Fujian sheng
4540802,G7823 .F8 S50 .C51 8629-II,36105023908788,nh323tz2528,https://purl.stanford.edu/nh323tz2528,Fujian sheng
4540802,G7823 .F8 S50 .C51 8629-III,36105023908721,mk837yk2286,https://purl.stanford.edu/mk837yk2286,Fujian sheng
4540802,G7823 .F8 S50 .C51 8629-IV,36105023908754,gj942yk2514,https://purl.stanford.edu/gj942yk2514,Fujian sheng
4540802,G7823 .F8 S50 .C51 8630-I,36105023908762,dq940vy7932,https://purl.stanford.edu/dq940vy7932,Fujian sheng
4540802,G7823 .F8 S50 .C51 8630-II,36105023908770,yn598rf3236,https://purl.stanford.edu/yn598rf3236,Fujian sheng
4540802,G7823 .F8 S50 .C51 8630-III,36105023908689,bq927pc7748,https://purl.stanford.edu/bq927pc7748,Fujian sheng
4540802,G7823 .F8 S50 .C51 8630-IV,36105023908697,ww268fr3730,https://purl.stanford.edu/ww268fr3730,Fujian sheng
4540802,G7823 .F8 S50 .C51 8631-I,36105023908705,mn964hx3378,https://purl.stanford.edu/mn964hx3378,Fujian sheng
4540802,G7823 .F8 S50 .C51 8631-II,36105023908713,zy422sv6759,https://purl.stanford.edu/zy422sv6759,Fujian sheng
4540802,G7823 .F8 S50 .C51 8631-III,36105023908648,bb613zb4406,https://purl.stanford.edu/bb613zb4406,Fujian sheng
4540802,G7823 .F8 S50 .C51 8631-IV,36105023908655,kw840ny2394,https://purl.stanford.edu/kw840ny2394,Fujian sheng
4540802,G7823 .F8 S50 .C51 8632-I,36105023908663,ck307br8870,https://purl.stanford.edu/ck307br8870,Fujian sheng
4540802,G7823 .F8 S50 .C51 8632-II,36105023908671,zp516km7870,https://purl.stanford.edu/zp516km7870,Fujian sheng
4540802,G7823 .F8 S50 .C51 8632-III,36105023908606,yw924vg7080,https://purl.stanford.edu/yw924vg7080,Fujian sheng
4540802,G7823 .F8 S50 .C51 8632-IV,36105023908614,qt651zb5396,https://purl.stanford.edu/qt651zb5396,Fujian sheng
4540802,G7823 .F8 S50 .C51 8728-IV,36105024051315,qb824nh6852,https://purl.stanford.edu/qb824nh6852,Fujian sheng
4540802,G7823 .F8 S50 .C51 8729-I,36105024051307,cb498ws5523,https://purl.stanford.edu/cb498ws5523,Fujian sheng
4540802,G7823 .F8 S50 .C51 8729-II,36105024051323,jd345hc9708,https://purl.stanford.edu/jd345hc9708,Fujian sheng
4540802,G7823 .F8 S50 .C51 8729-III,36105024051331,pf056dq1859,https://purl.stanford.edu/pf056dq1859,Fujian sheng
4540802,G7823 .F8 S50 .C51 8729-IV,36105024051349,jy825zs4813,https://purl.stanford.edu/jy825zs4813,Fujian sheng
4540802,G7823 .F8 S50 .C51 8730-I,36105024051356,pq338mt3890,https://purl.stanford.edu/pq338mt3890,Fujian sheng
4540802,G7823 .F8 S50 .C51 8730-II,36105024051026,mv245cv3763,https://purl.stanford.edu/mv245cv3763,Fujian sheng
4540802,G7823 .F8 S50 .C51 8730-III,36105024051018,gq339wv0350,https://purl.stanford.edu/gq339wv0350,Fujian sheng
4540802,G7823 .F8 S50 .C51 8730-IV,36105118392666,vv825rk0379,https://purl.stanford.edu/vv825rk0379,Fujian sheng
4540802,G7823 .F8 S50 .C51 8731-I,36105024048121,nv263hv0537,https://purl.stanford.edu/nv263hv0537,Fujian sheng
