Ckey,Call_Num,Druid,Purl,Label,Symph_Bar
10425346,G7960 S200 .J3 SHEET 10-10,ms098ym1888,https://purl.stanford.edu/ms098ym1888,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 10-11,ks864mr9813,https://purl.stanford.edu/ks864mr9813,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 11-11,pn642mk7989,https://purl.stanford.edu/pn642mk7989,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 11-12,gn734ww7055,https://purl.stanford.edu/gn734ww7055,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 12-11,rn363jk6857,https://purl.stanford.edu/rn363jk6857,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 12-12,cg638ty6718,https://purl.stanford.edu/cg638ty6718,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 12-13,xv653cq9317,https://purl.stanford.edu/xv653cq9317,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 13-11,bz315vy9833,https://purl.stanford.edu/bz315vy9833,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 13-12,yy316sr3701,https://purl.stanford.edu/yy316sr3701,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 13-13,ck941dr2033,https://purl.stanford.edu/ck941dr2033,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 14-11,nq684fj6062,https://purl.stanford.edu/nq684fj6062,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 14-12,rd565bf4518,https://purl.stanford.edu/rd565bf4518,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 14-13,qg717sh2146,https://purl.stanford.edu/qg717sh2146,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 14-14,yx844xs0144,https://purl.stanford.edu/yx844xs0144,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 15-10,jv867fd5958,https://purl.stanford.edu/jv867fd5958,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 15-11,pj902bg9925,https://purl.stanford.edu/pj902bg9925,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 15-12,nh318yc3336,https://purl.stanford.edu/nh318yc3336,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 15-13,bt122bd0650,https://purl.stanford.edu/bt122bd0650,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 15-14,gq211wd5686,https://purl.stanford.edu/gq211wd5686,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-9,fr318cx6965,https://purl.stanford.edu/fr318cx6965,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-10,rd070rb4182,https://purl.stanford.edu/rd070rb4182,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-11,rj893gy7924,https://purl.stanford.edu/rj893gy7924,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-12,gp783xq5256,https://purl.stanford.edu/gp783xq5256,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-13,ym691bv0839,https://purl.stanford.edu/ym691bv0839,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-14,wr082xb3869,https://purl.stanford.edu/wr082xb3869,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-15,nc720wy7539,https://purl.stanford.edu/nc720wy7539,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-16,yc130sj4251,https://purl.stanford.edu/yc130sj4251,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-17,rm866qr5908,https://purl.stanford.edu/rm866qr5908,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-19,dv170bh2421,https://purl.stanford.edu/dv170bh2421,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 16-20,nr631gm5633,https://purl.stanford.edu/nr631gm5633,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-13,vz200ym0039,https://purl.stanford.edu/vz200ym0039,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-14,jm970gq9990,https://purl.stanford.edu/jm970gq9990,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-15,kt427gm7040,https://purl.stanford.edu/kt427gm7040,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-16,yr092zh8480,https://purl.stanford.edu/yr092zh8480,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-17,jy262ks6222,https://purl.stanford.edu/jy262ks6222,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-18,nk736vc8658,https://purl.stanford.edu/nk736vc8658,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-19,tp273wb6431,https://purl.stanford.edu/tp273wb6431,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-20,hq257xm4314,https://purl.stanford.edu/hq257xm4314,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-21,jr856xv8877,https://purl.stanford.edu/jr856xv8877,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-24,wk741xy6669,https://purl.stanford.edu/wk741xy6669,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 17-25,kh741cv1672,https://purl.stanford.edu/kh741cv1672,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
