Call_Num,Druid,Purl,Title,Symph_Bar,Ckey
G7910 S25 .J3 E-4,pp145jb0509,https://purl.stanford.edu/pp145jb0509,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655660,10716764
G7910 S25 .J3 E-5,mz036kq2623,https://purl.stanford.edu/mz036kq2623,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655678,10716764
G7910 S25 .J3 E-5 PROV.,zj778vn9656,https://purl.stanford.edu/zj778vn9656,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655686,10716764
G7910 S25 .J3 E-6,yc554dg0776,https://purl.stanford.edu/yc554dg0776,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655694,10716764
G7910 S25 .J3 E-7,qz014hg1395,https://purl.stanford.edu/qz014hg1395,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655702,10716764
G7910 S25 .J3 E-8,hq161kn0380,https://purl.stanford.edu/hq161kn0380,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655710,10716764
G7910 S25 .J3 E-9,hh746mk0994,https://purl.stanford.edu/hh746mk0994,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655728,10716764
G7910 S25 .J3 E-10,gn777jb0372,https://purl.stanford.edu/gn777jb0372,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655736,10716764
G7910 S25 .J3 E-11,zm510dp4114,https://purl.stanford.edu/zm510dp4114,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655744,10716764
G7910 S25 .J3 E-11 PROV.,wb729mm2805,https://purl.stanford.edu/wb729mm2805,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655751,10716764
G7910 S25 .J3 E-12,dh976gd1728,https://purl.stanford.edu/dh976gd1728,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655769,10716764
G7910 S25 .J3 E-13,tm788cz2542,https://purl.stanford.edu/tm788cz2542,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655777,10716764
G7910 S25 .J3 E-14,kc582gw2080,https://purl.stanford.edu/kc582gw2080,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655785,10716764
G7910 S25 .J3 E-15,js833tn8385,https://purl.stanford.edu/js833tn8385,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655793,10716764
G7910 S25 .J3 E-16,dz114jp1644,https://purl.stanford.edu/dz114jp1644,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654606,10716764
G7910 S25 .J3 E-17,yk799zw4036,https://purl.stanford.edu/yk799zw4036,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654614,10716764
G7910 S25 .J3 E-18 PROV.,zp034pw1608,https://purl.stanford.edu/zp034pw1608,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654622,10716764
G7910 S25 .J3 E-19 PROV.,gb341rb0364,https://purl.stanford.edu/gb341rb0364,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654630,10716764
G7910 S25 .J3 E-20,sz212bd0341,https://purl.stanford.edu/sz212bd0341,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654648,10716764
G7910 S25 .J3 E-21,kf238hg5644,https://purl.stanford.edu/kf238hg5644,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654655,10716764
G7910 S25 .J3 E-22,td949mn7939,https://purl.stanford.edu/td949mn7939,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654663,10716764
G7910 S25 .J3 E-23 PROV.,qh118pn3223,https://purl.stanford.edu/qh118pn3223,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654671,10716764
G7910 S25 .J3 E-24 PROV.,df289wm2220,https://purl.stanford.edu/df289wm2220,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654689,10716764
G7910 S25 .J3 E-25 PROV.,fv562mx0709,https://purl.stanford.edu/fv562mx0709,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654697,10716764
G7910 S25 .J3 E-26,dp165fj9953,https://purl.stanford.edu/dp165fj9953,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654713,10716764
G7910 S25 .J3 E-26 PROV.,dj842kg5455,https://purl.stanford.edu/dj842kg5455,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654705,10716764
G7910 S25 .J3 E-27,pj479tb6500,https://purl.stanford.edu/pj479tb6500,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654721,10716764
G7910 S25 .J3 E-28,gf328xb9228,https://purl.stanford.edu/gf328xb9228,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654739,10716764
G7910 S25 .J3 E-29,jz294hr5205,https://purl.stanford.edu/jz294hr5205,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654747,10716764
